listing_id,host_since,host_is_superhost,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,host_tenure_days,occupancy,reviews_last_year,city,log_price
13448150,2015-10-03,1,2.0,Nrrebro,55.69079,12.56134,Private room in rental unit,Private room,2,,,,,7,0,70,4.9,f,0.62,3378.0,1.0,2.0,copenhagen,
631614190277101507,2020-08-02,0,1.0,Valby,55.664169,12.515074,Entire condo,Entire home/apt,5,1.0,2.0,1.0,1530.0,2,46,28,4.96,f,0.72,1613.0,0.873972602739726,7.0,copenhagen,7.333023014386481
19094838,2014-06-13,0,1.0,Vesterbro-Kongens Enghave,55.64966400405817,12.5555270165205,Entire rental unit,Entire home/apt,2,,1.0,,,1,0,1,5.0,f,0.04,3855.0,1.0,0.0,copenhagen,
2066635,2011-07-12,1,1.0,Nrrebro,55.68846,12.55848,Entire loft,Entire home/apt,4,1.0,2.0,2.0,2500.0,2,269,83,4.82,f,0.68,4922.0,0.263013698630137,18.0,copenhagen,7.824046010856292
1149876185094499081,2017-06-26,0,2.0,Vesterbro-Kongens Enghave,55.65349,12.55059,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,1100.0,4,168,12,5.0,f,0.72,2746.0,0.5397260273972603,9.0,copenhagen,7.003065458786462
939836032656880517,2018-02-02,0,1.0,Amager st,55.65363,12.61259,Entire condo,Entire home/apt,3,1.0,1.0,1.0,2568.0,6,363,9,4.89,f,0.34,2525.0,0.0054794520547944,0.0,copenhagen,7.850882664809852
954069116282194442,2021-06-18,0,1.0,Amager Vest,55.655200964702416,12.590699071508064,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,990.0,2,254,6,5.0,f,0.23,1293.0,0.3041095890410958,0.0,copenhagen,6.897704943128636
1514429372125227208,2015-05-25,0,1.0,Vesterbro-Kongens Enghave,55.66454983500438,12.548274993896484,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,902.0,2,250,0,,f,,3509.0,0.3150684931506849,0.0,copenhagen,6.804614520062624
53039217,2016-02-24,0,2.0,Vesterbro-Kongens Enghave,55.66357,12.55131,Entire condo,Entire home/apt,2,1.0,1.0,1.0,864.0,5,363,15,4.93,f,0.35,3234.0,0.0054794520547944,0.0,copenhagen,6.761572768804055
1190604255036862737,2019-02-03,0,2.0,Frederiksberg,55.674484210145415,12.547850033387109,Entire condo,Entire home/apt,4,1.0,1.0,1.0,1530.0,7,269,0,,f,,2159.0,0.263013698630137,0.0,copenhagen,7.333023014386481
1495123064954244712,2017-09-10,0,1.0,Vesterbro-Kongens Enghave,55.64557,12.55123,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,912.0,1,4,1,5.0,f,1.0,2670.0,0.989041095890411,1.0,copenhagen,6.815639990074331
1079822959506741477,2013-08-10,1,1.0,Vesterbro-Kongens Enghave,55.66600679014964,12.551897268710649,Entire rental unit,Entire home/apt,2,,1.0,,,1,0,23,4.91,f,1.14,4162.0,1.0,18.0,copenhagen,
1459456660010735419,2021-10-09,0,1.0,Frederiksberg,55.6892892,12.5334399,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,1440.0,2,304,3,5.0,f,1.43,1180.0,0.1671232876712328,3.0,copenhagen,7.272398392570047
1457128577044732069,2024-05-15,0,1.0,Amager st,55.668422,12.6000271,Entire rental unit,Entire home/apt,2,,1.0,,,3,0,1,5.0,f,0.58,231.0,1.0,1.0,copenhagen,
43339318,2013-10-12,0,2.0,Frederiksberg,55.6757099654777,12.547614355484887,Entire rental unit,Entire home/apt,6,,4.0,,,7,0,0,,t,,4099.0,1.0,0.0,copenhagen,
31172485,2015-10-29,0,1.0,Nrrebro,55.69899,12.544,Entire rental unit,Entire home/apt,2,,1.0,,,2,0,25,4.96,f,0.31,3352.0,1.0,0.0,copenhagen,
889721796475406985,2016-03-13,0,2.0,Vesterbro-Kongens Enghave,55.66537168959968,12.532202526926994,Entire rental unit,Entire home/apt,4,,2.0,,,4,0,4,5.0,t,0.15,3216.0,1.0,0.0,copenhagen,
1207129219145925757,2013-08-21,0,3.0,Frederiksberg,55.67835,12.55295,Entire rental unit,Entire home/apt,4,,3.0,,,3,0,0,,f,,4151.0,1.0,0.0,copenhagen,
1132497467385779332,2018-02-08,0,1.0,sterbro,55.69821,12.59318,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,945.0,1,263,0,,f,,2519.0,0.2794520547945205,0.0,copenhagen,6.851184927493743
1439907249844906967,2016-02-07,0,3.0,Vanlse,55.6910845,12.4874619,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,890.0,2,97,5,5.0,f,2.34,3251.0,0.7342465753424657,5.0,copenhagen,6.7912214627261855
19814554,2016-10-20,0,1.0,Nrrebro,55.69767,12.54577,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,1200.0,2,87,18,4.67,f,0.18,2995.0,0.7616438356164383,5.0,copenhagen,7.090076835776092
15749298,2016-01-29,1,3.0,sterbro,55.70569,12.58618,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,1403.0,3,83,32,4.81,f,0.3,3260.0,0.7726027397260273,10.0,copenhagen,7.246368080102461
1163604637132445621,2015-04-05,0,3.0,Vesterbro-Kongens Enghave,55.6695489,12.5550136,Entire rental unit,Entire home/apt,4,1.0,2.0,0.0,1204.0,3,236,3,4.67,f,0.2,3559.0,0.3534246575342465,1.0,copenhagen,7.093404625868766
656510267739519248,2016-03-05,0,2.0,sterbro,55.71241819999999,12.5684466,Entire condo,Entire home/apt,2,1.0,1.0,0.0,810.0,4,33,10,5.0,f,0.71,3224.0,0.9095890410958904,8.0,copenhagen,6.697034247666484
694954170189902180,2018-06-05,0,1.0,Amager Vest,55.65811546206682,12.566504203670828,Entire condo,Entire home/apt,4,,3.0,,,3,0,12,4.75,f,0.36,2402.0,1.0,0.0,copenhagen,
50357286,2016-06-12,0,2.0,Nrrebro,55.68215,12.55437,Entire condo,Entire home/apt,2,,1.0,,,2,0,43,4.91,t,0.84,3125.0,1.0,2.0,copenhagen,
1196898950068564442,2022-05-14,1,1.0,Nrrebro,55.69402730835506,12.544179931282995,Entire condo,Entire home/apt,2,,1.0,,,3,0,25,4.92,f,1.8,963.0,1.0,14.0,copenhagen,
966703244225755363,2022-12-29,0,1.0,Vesterbro-Kongens Enghave,55.67405669999999,12.5588207,Entire rental unit,Entire home/apt,2,,1.0,,,3,0,4,5.0,f,0.28,734.0,1.0,0.0,copenhagen,
551274170218803201,2017-04-11,0,15.0,Amager st,55.66365,12.61981,Entire condo,Entire home/apt,2,1.0,1.0,1.0,928.0,28,231,15,4.6,t,0.38,2822.0,0.3671232876712329,3.0,copenhagen,6.833031732786201
1193913709762563369,2016-07-02,0,3.0,Vesterbro-Kongens Enghave,55.67137967490943,12.56426688901281,Entire rental unit,Entire home/apt,4,,1.0,,,3,0,5,4.8,f,0.34,3105.0,1.0,3.0,copenhagen,
655149959679399369,2019-09-15,0,1.0,Indre By,55.68308283175612,12.563062483991988,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,855.0,6,142,15,4.67,f,0.7,1935.0,0.6109589041095891,3.0,copenhagen,6.75110146893676
871418,2012-04-12,0,2.0,Vesterbro-Kongens Enghave,55.67005,12.54928,Entire loft,Entire home/apt,5,,4.0,,,4,0,23,4.91,f,0.15,4647.0,1.0,0.0,copenhagen,
625179038434257569,2019-07-26,0,3.0,sterbro,55.71024,12.5662,Entire condo,Entire home/apt,3,,1.0,,,3,0,25,4.76,f,0.63,1986.0,1.0,8.0,copenhagen,
1577506,2013-07-11,0,3.0,sterbro,55.70079,12.58391,Private room in rental unit,Private room,1,1.0,1.0,1.0,374.0,7,316,95,4.91,f,0.65,4192.0,0.1342465753424657,3.0,copenhagen,5.924255797414532
802123836237223182,2016-08-20,0,1.0,Nrrebro,55.6910596,12.5556018,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,900.0,4,87,19,4.42,f,0.68,3056.0,0.7616438356164383,5.0,copenhagen,6.802394763324311
556194065973745036,2020-11-06,1,2.0,Valby,55.66681,12.51029,Entire condo,Entire home/apt,2,,1.0,,,2,0,17,5.0,f,0.41,1517.0,1.0,6.0,copenhagen,
613522583153575116,2014-06-08,0,2.0,Vesterbro-Kongens Enghave,55.66545319999999,12.5320419,Entire condo,Entire home/apt,5,2.0,1.0,3.0,1800.0,3,22,9,4.89,f,0.23,3860.0,0.9397260273972604,4.0,copenhagen,7.495541943884256
1449922431862018971,2016-07-16,0,1.0,Frederiksberg,55.68158422435671,12.555347710328466,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,4300.0,8,99,1,5.0,f,0.79,3091.0,0.7287671232876712,1.0,copenhagen,8.366370301681654
602016950205324742,2016-12-08,0,2.0,Amager Vest,55.6312,12.57347,Private room in condo,Private room,1,1.0,1.0,1.0,864.0,4,365,21,5.0,f,0.76,2946.0,0.0,4.0,copenhagen,6.761572768804055
1396417115849752726,2020-08-27,0,1.0,Nrrebro,55.69381,12.55177,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,810.0,4,20,5,5.0,f,1.33,1588.0,0.9452054794520548,5.0,copenhagen,6.697034247666484
23971743,2013-08-16,0,4.0,Nrrebro,55.69542,12.55273,Entire rental unit,Entire home/apt,2,,1.0,,,4,0,18,4.94,f,0.2,4156.0,1.0,2.0,copenhagen,
28129557,2017-02-04,1,1.0,Nrrebro,55.68672,12.55813,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1050.0,2,26,67,4.87,f,0.78,2888.0,0.9287671232876712,12.0,copenhagen,6.956545443151569
26240351,2018-06-03,0,2.0,Nrrebro,55.6971685,12.5477893,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,1170.0,2,4,9,4.78,f,0.53,2404.0,0.989041095890411,5.0,copenhagen,7.064759027791802
1343649918153363540,2023-10-19,0,1.0,Frederiksberg,55.6936443,12.5333615,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1200.0,2,275,0,,f,,440.0,0.2465753424657534,0.0,copenhagen,7.090076835776092
1494247385748998399,2025-08-23,0,22.0,Vesterbro-Kongens Enghave,55.66481,12.5361,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1345.0,2,360,3,5.0,f,3.0,-234.0,0.0136986301369863,3.0,copenhagen,7.20414929203594
917482242354589538,2016-09-29,0,1.0,Amager Vest,55.6551043,12.5649927,Entire rental unit,Entire home/apt,4,,2.0,,,3,0,2,5.0,f,0.08,3016.0,1.0,1.0,copenhagen,
1171512848151677082,2024-06-04,0,1.0,sterbro,55.69993,12.58808,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1700.0,2,295,7,5.0,f,0.44,211.0,0.1917808219178082,1.0,copenhagen,7.438383530044307
911518528398485350,2015-08-22,0,1.0,Amager st,55.66416,12.60778,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,990.0,6,75,4,4.75,f,0.16,3420.0,0.7945205479452055,0.0,copenhagen,6.897704943128636
895760177404814917,2016-08-28,0,6.0,Bispebjerg,55.6980406316786,12.5362730374163,Entire rental unit,Entire home/apt,2,,1.0,,,2,0,13,4.92,f,0.47,3048.0,1.0,0.0,copenhagen,
1384160674988345561,2017-06-04,1,3.0,Nrrebro,55.6851753,12.5525718,Entire rental unit,Entire home/apt,8,2.0,3.0,4.0,2340.0,2,270,3,5.0,f,0.95,2768.0,0.2602739726027397,3.0,copenhagen,7.757906208351747
1431673626506116637,2020-02-24,0,1.0,Valby,55.66852799999999,12.509634,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,782.0,2,244,6,5.0,f,1.78,1773.0,0.3315068493150684,6.0,copenhagen,6.661854740545311
918888815115478496,2018-11-21,0,1.0,Indre By,55.68587,12.56942,Entire rental unit,Entire home/apt,5,,2.0,,,4,0,4,5.0,f,0.15,2233.0,1.0,0.0,copenhagen,
1212890486895919347,2023-08-23,1,9.0,Indre By,55.67825,12.59627,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,6362.0,3,122,13,5.0,f,0.96,497.0,0.6657534246575343,10.0,copenhagen,8.758098072309089
1120041524959314908,2016-07-02,1,1.0,sterbro,55.70081,12.58303,Entire rental unit,Entire home/apt,4,1.0,2.0,0.0,2070.0,2,164,41,5.0,f,2.37,3105.0,0.5506849315068494,25.0,copenhagen,7.635303886259415
584448905474651260,2016-06-07,0,1.0,Amager st,55.6631,12.60521,Entire condo,Entire home/apt,2,1.0,1.0,1.0,765.0,3,7,20,4.95,f,0.47,3130.0,0.9808219178082191,3.0,copenhagen,6.639875833826536
41154509,2014-10-14,0,3.0,Amager st,55.66740679999999,12.6023031,Entire condo,Entire home/apt,3,1.0,1.0,2.0,1047.0,1,101,9,5.0,f,0.36,3732.0,0.7232876712328767,3.0,copenhagen,6.953684210870537
6815724,2015-02-09,1,1.0,Indre By,55.68417,12.56499,Entire condo,Entire home/apt,2,1.5,2.0,3.0,2150.0,3,9,79,5.0,f,0.64,3614.0,0.9753424657534246,15.0,copenhagen,7.673223121121708
36044354,2019-06-25,0,1.0,Amager st,55.66453,12.61099,Entire rental unit,Entire home/apt,4,,2.0,,,21,0,0,,f,,2017.0,1.0,0.0,copenhagen,
1088953246255635772,2020-01-03,0,1.0,Nrrebro,55.69495322654939,12.540485858917236,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,585.0,3,96,2,4.5,f,0.11,1825.0,0.736986301369863,1.0,copenhagen,6.371611847231857
1265017290654550055,2013-10-28,0,1.0,Valby,55.66046,12.48156,Entire rental unit,Entire home/apt,4,,1.0,,,1,3,3,5.0,f,0.74,4083.0,0.9917808219178084,3.0,copenhagen,
